Year,JulianDay,NumMon,Month,Day,Date,MeanAirTemperature,TotalRainfall(mm/d),TotalSnowfall(mm/deqv.),TotalPrecipitation(mm/d),MeanQ(m3/s),MeanQmm/day
1993,100,4,Apr,10,1993-04-10,1.8,0,0,0,5.92,0.429821849
1993,101,4,Apr,11,1993-04-11,1.2,4.9,0,4.9,5.56,0.403684034
1993,102,4,Apr,12,1993-04-12,0.9,1.6,0,1.6,5.25,0.381176471
1993,103,4,Apr,13,1993-04-13,0.8,3.5,0,3.5,5.10,0.370285714
1993,104,4,Apr,14,1993-04-14,2.5,0,0,0,5.08,0.368833613
1993,105,4,Apr,15,1993-04-15,3.5,0.2,0,0.2,4.91,0.356490756
1993,106,4,Apr,16,1993-04-16,3.6,0,0,0,4.73,0.343421849
1993,107,4,Apr,17,1993-04-17,4.6,0,0,0,4.57,0.331805042
1993,108,4,Apr,18,1993-04-18,2.5,0.5,0,0.5,4.53,0.32890084
1993,109,4,Apr,19,1993-04-19,0.9,1.2,0,1.2,4.26,0.309297479
1993,110,4,Apr,20,1993-04-20,2.6,0,0,0,4.70,0.341243697
1993,111,4,Apr,21,1993-04-21,6,0,0,0,5.00,0.36302521
1993,112,4,Apr,22,1993-04-22,6.7,0,0,0,5.40,0.392067227
1993,113,4,Apr,23,1993-04-23,3.6,10.1,0,10.1,5.78,0.419657143
1993,114,4,Apr,24,1993-04-24,1.5,6.5,0,6.5,6.42,0.46612437
1993,115,4,Apr,25,1993-04-25,4.2,0.2,0,0.2,6.32,0.458863866
1993,116,4,Apr,26,1993-04-26,5.3,0.2,0,0.2,6.88,0.499522689
1993,117,4,Apr,27,1993-04-27,3.6,0,0,0,6.86,0.498070588
1993,118,4,Apr,28,1993-04-28,3.8,0,0,0,6.52,0.473384874
1993,119,4,Apr,29,1993-04-29,5.8,0,0,0,6.28,0.455959664
1993,120,4,Apr,30,1993-04-30,5.4,0.5,0,0.5,6.11,0.443616807
1993,121,5,May,1,1993-05-01,4.9,1.2,0,1.2,6.01,0.436356303
1993,122,5,May,2,1993-05-02,6.3,0.4,0,0.4,6.17,0.447973109
1993,123,5,May,3,1993-05-03,3.1,0.2,0,0.2,6.04,0.438534454
1993,124,5,May,4,1993-05-04,6,0,0,0,5.89,0.427643697
1993,125,5,May,5,1993-05-05,10.5,0,0,0,5.79,0.420383193
1993,126,5,May,6,1993-05-06,12,0,0,0,6.01,0.436356303
1993,127,5,May,7,1993-05-07,7.5,8.7,0,8.7,7.62,0.55325042
1993,128,5,May,8,1993-05-08,6.2,1,0,1,8.47,0.614964706
1993,129,5,May,9,1993-05-09,6.3,0,0,0,7.95,0.577210084
1993,130,5,May,10,1993-05-10,11,0,0,0,7.46,0.541633613
1993,131,5,May,11,1993-05-11,14.6,0,0,0,7.23,0.524934454
1993,132,5,May,12,1993-05-12,15.9,0,0,0,8.68,0.630211765
1993,133,5,May,13,1993-05-13,14.2,0,0,0,14.30,1.038252101
1993,134,5,May,14,1993-05-14,12.3,0,0,0,16.80,1.219764706
1993,135,5,May,15,1993-05-15,10.1,2.6,0,2.6,17.60,1.277848739
1993,136,5,May,16,1993-05-16,7.9,2.2,0,2.2,16.80,1.219764706
1993,137,5,May,17,1993-05-17,9.7,7.1,0,7.1,16.90,1.22702521
1993,138,5,May,18,1993-05-18,9.9,0,0,0,17.40,1.263327731
1993,139,5,May,19,1993-05-19,11.3,0,0,0,16.40,1.190722689
1993,140,5,May,20,1993-05-20,12.3,2,0,2,16.20,1.176201681
1993,141,5,May,21,1993-05-21,10.6,1.4,0,1.4,17.30,1.256067227
1993,142,5,May,22,1993-05-22,7,2.5,0,2.5,18.30,1.328672269
1993,143,5,May,23,1993-05-23,6.2,9.1,0,9.1,17.80,1.292369748
1993,144,5,May,24,1993-05-24,7.7,3.7,0,3.7,16.40,1.190722689
1993,145,5,May,25,1993-05-25,8.7,0,0,0,16.30,1.183462185
1993,146,5,May,26,1993-05-26,6.6,0.2,0,0.2,16.40,1.190722689
1993,147,5,May,27,1993-05-27,5.2,11.8,0,11.8,17.30,1.256067227
1993,148,5,May,28,1993-05-28,8.6,0,0,0,17.10,1.241546218
1993,149,5,May,29,1993-05-29,7.3,17.2,0,17.2,21.10,1.531966387
1993,150,5,May,30,1993-05-30,8.7,1.2,0,1.2,25.70,1.86594958
1993,151,5,May,31,1993-05-31,10.2,0,0,0,22.50,1.633613445
1993,152,6,Jun,1,1993-06-01,9,18.4,0,18.4,30.80,2.236235294
1993,153,6,Jun,2,1993-06-02,8.4,6.9,0,6.9,73.50,5.336470588
1993,154,6,Jun,3,1993-06-03,6,0,0,0,50.40,3.659294118
1993,155,6,Jun,4,1993-06-04,7.3,0,0,0,36.50,2.650084034
1993,156,6,Jun,5,1993-06-05,7.2,0,0,0,29.40,2.134588235
1993,157,6,Jun,6,1993-06-06,9.1,0,0,0,24.70,1.793344538
1993,158,6,Jun,7,1993-06-07,9,0,0,0,21.60,1.568268908
1993,159,6,Jun,8,1993-06-08,9.8,1.2,0,1.2,20.10,1.459361345
1993,160,6,Jun,9,1993-06-09,9.6,0.9,0,0.9,18.90,1.372235294
1993,161,6,Jun,10,1993-06-10,9.5,0,0,0,17.30,1.256067227
1993,162,6,Jun,11,1993-06-11,7.4,0,0,0,15.90,1.154420168
1993,163,6,Jun,12,1993-06-12,5.3,73.2,0,73.2,25.80,1.873210084
1993,164,6,Jun,13,1993-06-13,8.5,5,0,5,39.00,2.831596639
1993,165,6,Jun,14,1993-06-14,9,1.2,0,1.2,34.50,2.50487395
1993,166,6,Jun,15,1993-06-15,8.7,0,0,0,33.70,2.446789916
1993,167,6,Jun,16,1993-06-16,8.2,40.6,0,40.6,68.20,4.951663866
1993,168,6,Jun,17,1993-06-17,8.8,0.3,0,0.3,84.80,6.156907563
1993,169,6,Jun,18,1993-06-18,12.7,0.7,0,0.7,65.80,4.777411765
1993,170,6,Jun,19,1993-06-19,14.2,0,0,0,57.70,4.189310924
1993,171,6,Jun,20,1993-06-20,13.1,0,0,0,46.30,3.361613445
1993,172,6,Jun,21,1993-06-21,14.9,0,0,0,37.10,2.693647059
1993,173,6,Jun,22,1993-06-22,11.2,0,0,0,31.90,2.31610084
1993,174,6,Jun,23,1993-06-23,6,0,0,0,27.50,1.996638655
1993,175,6,Jun,24,1993-06-24,8.5,0.7,0,0.7,23.70,1.720739496
1993,176,6,Jun,25,1993-06-25,9.1,0,0,0,20.90,1.517445378
1993,177,6,Jun,26,1993-06-26,11.6,0,0,0,18.90,1.372235294
1993,178,6,Jun,27,1993-06-27,12.6,5.9,0,5.9,18.80,1.36497479
1993,179,6,Jun,28,1993-06-28,10.5,0,0,0,17.80,1.292369748
1993,180,6,Jun,29,1993-06-29,6.5,44.3,0,44.3,23.80,1.728
1993,181,6,Jun,30,1993-06-30,8.9,3.4,0,3.4,31.40,2.279798319
1993,182,7,July,1,1993-07-01,11,0.6,0,0.6,25.80,1.873210084
1993,183,7,July,2,1993-07-02,9.6,2.5,0,2.5,23.50,1.706218487
1993,184,7,July,3,1993-07-03,9.6,13.6,0,13.6,22.90,1.662655462
1993,185,7,July,4,1993-07-04,9.9,1.1,0,1.1,21.60,1.568268908
1993,186,7,July,5,1993-07-05,10.3,6.2,0,6.2,21.20,1.539226891
1993,187,7,July,6,1993-07-06,10,1.5,0,1.5,23.80,1.728
1993,188,7,July,7,1993-07-07,10.5,3.9,0,3.9,28.40,2.061983193
1993,189,7,July,8,1993-07-08,9.8,7.5,0,7.5,37.40,2.715428571
1993,190,7,July,9,1993-07-09,6.8,12.8,0,12.8,41.20,2.991327731
1993,191,7,July,10,1993-07-10,8,0.4,0,0.4,39.40,2.860638655
1993,192,7,July,11,1993-07-11,8,1.7,0,1.7,34.40,2.497613445
1993,193,7,July,12,1993-07-12,6.5,23,0,23,44.00,3.194621849
1993,194,7,July,13,1993-07-13,7.1,11.3,0,11.3,63.80,4.632201681
1993,195,7,July,14,1993-07-14,6.7,0,0,0,59.00,4.283697479
1993,196,7,July,15,1993-07-15,6.5,0.9,0,0.9,50.80,3.688336134
1993,197,7,July,16,1993-07-16,6.8,0,0,0,44.50,3.23092437
1993,198,7,July,17,1993-07-17,7.4,0,0,0,40.80,2.962285714
1993,199,7,July,18,1993-07-18,8.9,0,0,0,36.30,2.635563025
1993,200,7,July,19,1993-07-19,10.1,1.3,0,1.3,34.40,2.497613445
1993,201,7,July,20,1993-07-20,10.3,11.1,0,11.1,34.60,2.512134454
1993,202,7,July,21,1993-07-21,10.6,4.9,0,4.9,41.00,2.976806723
1993,203,7,July,22,1993-07-22,11.4,0,0,0,35.00,2.541176471
1993,204,7,July,23,1993-07-23,12,2.6,0,2.6,30.40,2.207193277
1993,205,7,July,24,1993-07-24,11.6,12.6,0,12.6,28.40,2.061983193
1993,206,7,July,25,1993-07-25,10,22.2,0,22.2,32.20,2.337882353
1993,207,7,July,26,1993-07-26,10.3,3.4,0,3.4,39.70,2.882420168
1993,208,7,July,27,1993-07-27,12.1,2.3,0,2.3,38.70,2.809815126
1993,209,7,July,28,1993-07-28,14.1,0.8,0,0.8,34.60,2.512134454
1993,210,7,July,29,1993-07-29,16,0,0,0,30.30,2.199932773
1993,211,7,July,30,1993-07-30,11.1,0.4,0,0.4,27.20,1.974857143
1993,212,7,July,31,1993-07-31,10.9,0,0,0,24.10,1.749781513
1993,213,8,Aug,1,1993-08-01,11.4,0,0,0,21.30,1.546487395
1993,214,8,Aug,2,1993-08-02,12.3,0,0,0,19.60,1.423058824
1993,215,8,Aug,3,1993-08-03,12.4,7.9,0,7.9,18.90,1.372235294
1993,216,8,Aug,4,1993-08-04,12.9,0,0,0,18.10,1.314151261
1993,217,8,Aug,5,1993-08-05,13.2,3.5,0,3.5,18.10,1.314151261
1993,218,8,Aug,6,1993-08-06,15.7,0,0,0,16.90,1.22702521
1993,219,8,Aug,7,1993-08-07,12.8,6,0,6,17.60,1.277848739
1993,220,8,Aug,8,1993-08-08,12.1,4.4,0,4.4,18.40,1.335932773
1993,221,8,Aug,9,1993-08-09,15.3,0,0,0,16.40,1.190722689
1993,222,8,Aug,10,1993-08-10,10.6,0,0,0,15.20,1.103596639
1993,223,8,Aug,11,1993-08-11,7.5,8.5,0,8.5,15.70,1.13989916
1993,224,8,Aug,12,1993-08-12,9.8,0,0,0,15.00,1.08907563
1993,225,8,Aug,13,1993-08-13,11.2,0,0,0,14.20,1.030991597
1993,226,8,Aug,14,1993-08-14,10.6,10.4,0,10.4,14.60,1.060033613
1993,227,8,Aug,15,1993-08-15,9.3,4.6,0,4.6,14.80,1.074554622
1993,228,8,Aug,16,1993-08-16,10.2,24.6,0,24.6,20.40,1.481142857
1993,229,8,Aug,17,1993-08-17,13.5,22.3,0,22.3,55.20,4.007798319
1993,230,8,Aug,18,1993-08-18,12.6,0,0,0,56.00,4.065882353
1993,231,8,Aug,19,1993-08-19,12.5,0,0,0,41.30,2.998588235
1993,232,8,Aug,20,1993-08-20,14.8,0,0,0,33.10,2.403226891
1993,233,8,Aug,21,1993-08-21,15.8,0,0,0,28.50,2.069243697
1993,234,8,Aug,22,1993-08-22,14.7,0.8,0,0.8,25.70,1.86594958
1993,235,8,Aug,23,1993-08-23,13.3,0,0,0,23.10,1.677176471
1993,236,8,Aug,24,1993-08-24,9.3,0,0,0,21.00,1.524705882
1993,237,8,Aug,25,1993-08-25,5.8,13.4,0,13.4,21.50,1.561008403
1993,238,8,Aug,26,1993-08-26,8.6,2.4,0,2.4,22.90,1.662655462
1993,239,8,Aug,27,1993-08-27,7.6,2.1,0,2.1,20.40,1.481142857
1993,240,8,Aug,28,1993-08-28,6.4,17.5,0,17.5,23.90,1.735260504
1993,241,8,Aug,29,1993-08-29,6.1,4.6,0,4.6,30.60,2.221714286
1993,242,8,Aug,30,1993-08-30,7.4,2.5,0,2.5,27.50,1.996638655
1993,243,8,Aug,31,1993-08-31,8.6,1,0,1,25.50,1.851428571
1993,244,9,Sept,1,1993-09-01,9,1.1,0,1.1,24.60,1.786084034
1993,245,9,Sept,2,1993-09-02,10.7,1.5,0,1.5,24.00,1.742521008
1993,246,9,Sept,3,1993-09-03,12.7,0,0,0,22.50,1.633613445
1993,247,9,Sept,4,1993-09-04,9.9,1.1,0,1.1,21.50,1.561008403
1993,248,9,Sept,5,1993-09-05,6.5,1.1,0,1.1,20.50,1.488403361
1993,249,9,Sept,6,1993-09-06,8,0,0,0,19.20,1.394016807
1993,250,9,Sept,7,1993-09-07,11.8,0,0,0,18.10,1.314151261
1993,251,9,Sept,8,1993-09-08,15.5,0,0,0,17.00,1.234285714
1993,252,9,Sept,9,1993-09-09,12,0,0,0,16.10,1.168941176
1993,253,9,Sept,10,1993-09-10,12.2,0,0,0,15.60,1.132638655
1993,254,9,Sept,11,1993-09-11,10,0,0,0,15.40,1.118117647
1993,255,9,Sept,12,1993-09-12,2.8,22.1,0,22.1,17.60,1.277848739
1993,256,9,Sept,13,1993-09-13,2.8,0.6,0,0.6,16.30,1.183462185
1993,257,9,Sept,14,1993-09-14,4.8,0.6,0,0.6,15.50,1.125378151
1993,258,9,Sept,15,1993-09-15,4.7,30,0,30,18.90,1.372235294
1993,259,9,Sept,16,1993-09-16,4.1,0,0,0,19.40,1.408537815
1993,260,9,Sept,17,1993-09-17,5.7,0,0,0,17.50,1.270588235
1993,261,9,Sept,18,1993-09-18,8,0,0,0,16.70,1.212504202
1993,262,9,Sept,19,1993-09-19,7.2,0,0,0,16.30,1.183462185
1993,263,9,Sept,20,1993-09-20,2.1,8.5,0,8.5,16.90,1.22702521
1993,264,9,Sept,21,1993-09-21,3.6,0,0,0,16.50,1.197983193
1993,265,9,Sept,22,1993-09-22,6.5,0,0,0,15.80,1.147159664
1993,266,9,Sept,23,1993-09-23,8.3,0,0,0,15.30,1.110857143
1993,267,9,Sept,24,1993-09-24,9.9,0,0,0,14.90,1.081815126
1993,268,9,Sept,25,1993-09-25,7.1,2.1,0,2.1,14.70,1.067294118
1993,269,9,Sept,26,1993-09-26,9.3,1.9,0,1.9,14.60,1.060033613
1993,270,9,Sept,27,1993-09-27,10.6,0,0,0,14.00,1.016470588
1993,271,9,Sept,28,1993-09-28,7.7,0,0,0,14.40,1.045512605
1993,272,9,Sept,29,1993-09-29,11.5,0.2,0,0.2,14.30,1.038252101
1993,273,9,Sept,30,1993-09-30,6.8,2.5,0,2.5,14.10,1.023731092
1993,274,10,Oct,1,1993-10-01,5.1,0,0,0,13.80,1.00194958
1993,275,10,Oct,2,1993-10-02,10,0.2,0,0.2,13.30,0.965647059
1993,276,10,Oct,3,1993-10-03,13.2,0,0,0,12.80,0.929344538
1993,277,10,Oct,4,1993-10-04,11.3,0,0,0,12.40,0.900302521
1993,278,10,Oct,5,1993-10-05,12.1,0,0,0,12.20,0.885781513
1993,279,10,Oct,6,1993-10-06,1.5,1.7,0,1.7,11.90,0.864
1993,280,10,Oct,7,1993-10-07,-0.3,0,0.4,0.4,11.80,0.856739496
1993,281,10,Oct,8,1993-10-08,3.7,0.9,0,0.9,11.40,0.827697479
1993,282,10,Oct,9,1993-10-09,6.5,0.2,0,0.2,11.00,0.798655462
1993,283,10,Oct,10,1993-10-10,7.2,0,0,0,10.70,0.77687395
1993,284,10,Oct,11,1993-10-11,6.4,0.2,0,0.2,10.40,0.755092437
1993,285,10,Oct,12,1993-10-12,7.3,0,0,0,9.92,0.720242017
1993,286,10,Oct,13,1993-10-13,5.8,0,0,0,9.95,0.722420168
1993,287,10,Oct,14,1993-10-14,4.6,0,0,0,9.84,0.714433613
1993,288,10,Oct,15,1993-10-15,1.9,28.8,0,28.8,9.79,0.710803361
1993,289,10,Oct,16,1993-10-16,3.5,0.7,0,0.7,8.40,0.609882353
1993,290,10,Oct,17,1993-10-17,3.4,0,0,0,9.86,0.715885714
1993,291,10,Oct,18,1993-10-18,5,0.4,0,0.4,9.63,0.699186555
1993,292,10,Oct,19,1993-10-19,2.9,3.3,0,3.3,9.54,0.692652101
1993,293,10,Oct,20,1993-10-20,0,0,0,0,9.28,0.67377479
1993,294,10,Oct,21,1993-10-21,6,0,0,0,9.23,0.670144538
1993,295,10,Oct,22,1993-10-22,7.6,0,0,0,9.10,0.660705882
1993,296,10,Oct,23,1993-10-23,8.5,0,0,0,8.94,0.649089076
1993,297,10,Oct,24,1993-10-24,6.9,3.2,0,3.2,8.93,0.648363025
1993,298,10,Oct,25,1993-10-25,2,0,0,0,8.86,0.643280672
1993,299,10,Oct,26,1993-10-26,3.5,0,0,0,8.64,0.627307563
1993,300,10,Oct,27,1993-10-27,6.2,0,0,0,8.58,0.622951261
1993,301,10,Oct,28,1993-10-28,0.2,4.9,0,4.9,8.64,0.627307563
1993,302,10,Oct,29,1993-10-29,-4.1,0,0,0,8.28,0.601169748
1993,303,10,Oct,30,1993-10-30,3.2,0,0,0,8.39,0.609156303
1993,304,10,Oct,31,1993-10-31,4.5,0,0,0,8.39,0.609156303
1993,305,11,Nov,1,1993-11-01,-1,0,0,0,8.23,0.597539496
1993,306,11,Nov,2,1993-11-02,3.1,0,0,0,8.21,0.596087395
1993,307,11,Nov,3,1993-11-03,2.5,5.6,0,5.6,8.17,0.593183193
1993,308,11,Nov,4,1993-11-04,-7.3,0,0,0,7.99,0.580114286
1993,309,11,Nov,5,1993-11-05,-6.2,0,0,0,7.47,0.542359664
1993,310,11,Nov,6,1993-11-06,-2.5,0,0,0,7.77,0.564141176
1993,311,11,Nov,7,1993-11-07,-0.1,0,0,0,7.84,0.569223529
1993,312,11,Nov,8,1993-11-08,-1.2,0,0,0,7.68,0.557606723
1993,313,11,Nov,9,1993-11-09,-1.2,0,0,0,7.58,0.550346218
1993,314,11,Nov,10,1993-11-10,-0.4,0,0,0,7.52,0.545989916
1993,315,11,Nov,11,1993-11-11,1.4,0,0,0,7.45,0.540907563
1993,316,11,Nov,12,1993-11-12,-0.7,0,3.2,3.2,7.44,0.540181513
1993,317,11,Nov,13,1993-11-13,-2.3,0,0,0,7.43,0.539455462
1993,318,11,Nov,14,1993-11-14,-3.1,0,0,0,7.20,0.522756303
1993,319,11,Nov,15,1993-11-15,0.3,9.3,0,9.3,7.35,0.533647059
1993,320,11,Nov,16,1993-11-16,-4.1,0,0,0,7.37,0.53509916
1993,321,11,Nov,17,1993-11-17,-5.5,0,0,0,7.25,0.526386555
1993,322,11,Nov,18,1993-11-18,-6.4,0,0,0,7.18,0.521304202
1993,323,11,Nov,19,1993-11-19,-0.4,0,0,0,7.18,0.521304202
1993,324,11,Nov,20,1993-11-20,2.7,7.4,0,7.4,7.09,0.514769748
1993,325,11,Nov,21,1993-11-21,-18.3,0,8.3,8.3,7.10,0.515495798
1993,326,11,Nov,22,1993-11-22,-25.4,0,0.9,0.9,6.54,0.474836975
1993,327,11,Nov,23,1993-11-23,-23.3,0,0,0,6.27,0.455233613
1993,328,11,Nov,24,1993-11-24,-13.8,0,0,0,6.60,0.479193277
1993,329,11,Nov,25,1993-11-25,-9.9,0,0,0,6.87,0.498796639
1993,330,11,Nov,26,1993-11-26,-5.8,0,0,0,7.57,0.549620168
1993,331,11,Nov,27,1993-11-27,-0.9,0,0,0,9.48,0.688295798
1993,332,11,Nov,28,1993-11-28,0.3,0,0,0,9.32,0.676678992
1993,333,11,Nov,29,1993-11-29,2.7,0,0,0,7.47,0.542359664
1993,334,11,Nov,30,1993-11-30,-1,0,0.9,0.9,6.71,0.487179832
